model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../4_flexref/flexref_76.pdb	-	103	-80.536	5.614	0.233	13.076	13.065	0.199	36	9	10	23.339	0.000	0.000	795.324	0.000	0.000	0.000	-6.598	0.000	-32.125	0.000	0.000	0.000	0.000	-44.980	-36.194	0.000	0.000
../4_flexref/flexref_158.pdb	-	104	-80.511	5.032	0.133	11.751	11.749	0.186	48	12	4	3.874	0.000	0.000	667.560	0.000	0.000	0.000	-0.048	0.000	-47.810	0.000	0.000	0.000	0.000	-70.301	-26.365	0.000	0.000
../4_flexref/flexref_143.pdb	-	105	-80.143	5.459	0.133	12.587	12.586	0.172	43	16	1	0.387	0.000	0.000	959.921	0.000	0.000	0.000	-4.558	0.000	-33.142	0.000	0.000	0.000	0.000	-65.637	-32.882	0.000	0.000
../4_flexref/flexref_41.pdb	-	106	-80.139	3.218	0.333	7.637	7.642	0.355	10	14	2	0.533	0.000	0.000	831.826	0.000	0.000	0.000	-2.514	0.000	-33.291	0.000	0.000	0.000	0.000	-68.826	-36.069	0.000	0.000
../4_flexref/flexref_175.pdb	-	107	-79.865	5.457	0.167	12.670	12.711	0.182	37	7	14	30.944	0.000	0.000	883.565	0.000	0.000	0.000	-3.028	0.000	-31.488	0.000	0.000	0.000	0.000	-40.152	-39.608	0.000	0.000
../4_flexref/flexref_182.pdb	-	108	-79.685	5.764	0.200	13.449	13.426	0.183	36	9	11	8.730	0.000	0.000	840.677	0.000	0.000	0.000	-5.039	0.000	-33.033	0.000	0.000	0.000	0.000	-58.382	-34.078	0.000	0.000
../4_flexref/flexref_105.pdb	-	109	-78.451	5.599	0.167	13.055	13.068	0.177	36	9	12	2.333	0.000	0.000	777.818	0.000	0.000	0.000	-5.352	0.000	-32.370	0.000	0.000	0.000	0.000	-63.221	-33.184	0.000	0.000
../4_flexref/flexref_129.pdb	-	110	-77.805	2.706	0.533	6.388	6.348	0.469	12	3	14	24.922	0.000	0.000	901.102	0.000	0.000	0.000	-3.432	0.000	-20.650	0.000	0.000	0.000	0.000	-42.932	-47.204	0.000	0.000
../4_flexref/flexref_170.pdb	-	111	-77.443	4.741	0.133	11.231	11.226	0.196	47	11	5	0.068	0.000	0.000	707.198	0.000	0.000	0.000	0.262	0.000	-47.261	0.000	0.000	0.000	0.000	-70.572	-23.378	0.000	0.000
../4_flexref/flexref_197.pdb	-	112	-77.083	5.670	0.200	13.269	13.245	0.185	36	9	13	30.099	0.000	0.000	850.911	0.000	0.000	0.000	-5.134	0.000	-24.890	0.000	0.000	0.000	0.000	-36.351	-41.559	0.000	0.000
../4_flexref/flexref_108.pdb	-	113	-77.074	5.667	0.167	13.379	13.358	0.173	23	4	16	0.952	0.000	0.000	1061.740	0.000	0.000	0.000	-3.393	0.000	-23.864	0.000	0.000	0.000	0.000	-62.206	-39.295	0.000	0.000
../4_flexref/flexref_12.pdb	-	114	-76.999	5.681	0.200	13.210	13.216	0.186	36	9	14	3.989	0.000	0.000	849.380	0.000	0.000	0.000	-5.774	0.000	-24.878	0.000	0.000	0.000	0.000	-59.141	-38.253	0.000	0.000
../4_flexref/flexref_58.pdb	-	115	-75.678	5.350	0.200	12.470	12.473	0.197	37	7	15	0.225	0.000	0.000	855.528	0.000	0.000	0.000	-2.951	0.000	-23.987	0.000	0.000	0.000	0.000	-63.968	-40.206	0.000	0.000
../4_flexref/flexref_124.pdb	-	116	-75.556	5.300	0.200	12.235	12.241	0.200	39	10	4	26.146	0.000	0.000	795.805	0.000	0.000	0.000	-1.402	0.000	-27.369	0.000	0.000	0.000	0.000	-42.665	-41.442	0.000	0.000
../4_flexref/flexref_123.pdb	-	117	-75.267	5.516	0.133	12.890	12.872	0.168	23	4	17	1.684	0.000	0.000	980.902	0.000	0.000	0.000	-3.777	0.000	-26.694	0.000	0.000	0.000	0.000	-60.165	-35.155	0.000	0.000
../4_flexref/flexref_150.pdb	-	118	-74.899	2.713	0.567	6.338	6.337	0.481	12	3	15	1.015	0.000	0.000	911.067	0.000	0.000	0.000	-5.157	0.000	-19.811	0.000	0.000	0.000	0.000	-59.718	-40.922	0.000	0.000
../4_flexref/flexref_68.pdb	-	119	-74.782	5.428	0.167	12.738	12.703	0.182	23	4	18	6.767	0.000	0.000	1037.290	0.000	0.000	0.000	0.485	0.000	-32.684	0.000	0.000	0.000	0.000	-58.804	-32.888	0.000	0.000
../4_flexref/flexref_73.pdb	-	120	-74.524	2.884	0.533	6.977	6.940	0.448	11	1	16	0.279	0.000	0.000	779.850	0.000	0.000	0.000	-1.463	0.000	-32.456	0.000	0.000	0.000	0.000	-65.011	-32.833	0.000	0.000
../4_flexref/flexref_86.pdb	-	121	-74.271	4.910	0.133	11.604	11.588	0.189	47	11	6	0.757	0.000	0.000	667.223	0.000	0.000	0.000	-0.061	0.000	-38.690	0.000	0.000	0.000	0.000	-66.856	-28.924	0.000	0.000
../4_flexref/flexref_89.pdb	-	122	-74.043	2.644	0.600	6.186	6.206	0.499	12	3	16	0.026	0.000	0.000	919.687	0.000	0.000	0.000	-3.686	0.000	-16.262	0.000	0.000	0.000	0.000	-61.136	-44.901	0.000	0.000
../4_flexref/flexref_142.pdb	-	123	-73.807	4.968	0.100	11.682	11.689	0.177	47	11	7	1.528	0.000	0.000	736.902	0.000	0.000	0.000	-0.010	0.000	-40.300	0.000	0.000	0.000	0.000	-65.053	-26.282	0.000	0.000
../4_flexref/flexref_184.pdb	-	124	-73.626	2.465	0.600	5.786	5.801	0.518	11	1	17	0.682	0.000	0.000	907.413	0.000	0.000	0.000	-0.154	0.000	-31.982	0.000	0.000	0.000	0.000	-63.784	-32.484	0.000	0.000
../4_flexref/flexref_27.pdb	-	125	-73.411	2.554	0.533	6.009	5.973	0.486	12	3	17	0.000	0.000	0.000	882.491	0.000	0.000	0.000	-0.829	0.000	-28.307	0.000	0.000	0.000	0.000	-63.757	-35.450	0.000	0.000
../4_flexref/flexref_16.pdb	-	126	-72.792	5.567	0.167	13.047	13.025	0.177	36	9	15	1.494	0.000	0.000	721.047	0.000	0.000	0.000	-3.782	0.000	-35.297	0.000	0.000	0.000	0.000	-60.456	-26.652	0.000	0.000
